antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"~Produced by, ~starred_actors",starred_actors,0.005102522914107531,0.22630634035717662,0.0049135405839554,0.9629629629629629,4.255130286863063,0.0037588072966750884,20.889728810356203,0.7689129656552963
"written_by, ~has_genre, ~release_year",has_genre,0.0025512614570537655,0.2388736653122933,0.0024567702919777,0.9629629629629629,4.031264650726676,0.001847341116561285,20.550411036568054,0.7538621855597983
"written_by, ~has_genre, ~release_year","has_genre, release_year",0.0025512614570537655,0.01615798922800718,0.0024567702919777,0.9629629629629629,59.59670781893004,0.0024155470368367954,26.56373429084377,0.9857354184277262
"release_year, written_by, ~has_genre",has_genre,0.005102522914107531,0.2388736653122933,0.0049135405839554,0.9629629629629629,4.031264650726676,0.00369468223312257,20.550411036568054,0.7557953491090541
"release_year, written_by, ~has_genre, ~release_year",has_genre,0.0025512614570537655,0.2388736653122933,0.0024567702919777,0.9629629629629629,4.031264650726676,0.001847341116561285,20.550411036568054,0.7538621855597983
"written_by, ~directed_by, ~starred_actors",starred_actors,0.005008031749031466,0.22630634035717662,0.004819049418879335,0.9622641509433961,4.25204238389727,0.0036857000813634733,20.502881980534767,0.7686684170344301
"Influenced By, ~written_by",written_by,0.0023622791269016347,0.28696966833601056,0.002267787961825569,0.96,3.345301284162002,0.0015898855042615263,17.82575829159972,0.7027333143903516
~Program creator,has_genre,0.002267787961825569,0.2388736653122933,0.002173296796749504,0.9583333333333335,4.011883570675106,0.0016315819741571352,18.26703203250503,0.7524469132040666
"starred_actors, ~is-a, ~starred_actors",is-a,0.002267787961825569,0.06179722195974676,0.002173296796749504,0.9583333333333335,15.507708970438332,0.0020331538007149277,22.516866672966156,0.9376423162601861
"Starring TV role, ~starred_actors",starred_actors,0.002267787961825569,0.22630634035717662,0.002173296796749504,0.9583333333333335,4.234672929714684,0.001660082002402699,18.56864783142783,0.7655904503473238
"~Influenced By, ~written_by",written_by,0.002173296796749504,0.28696966833601056,0.0020788056316734384,0.9565217391304347,3.333180627335328,0.0014551353707145192,16.399697628271728,0.7015108471074382
"~has_genre, ~release_year, ~written_by","has_genre, release_year",0.002173296796749504,0.01615798922800718,0.0020788056316734384,0.9565217391304347,59.19806763285024,0.0020436895254422973,22.628366247755793,0.9852487947658403
"written_by, ~Influenced By",~written_by,0.002173296796749504,0.301993763583105,0.0020788056316734384,0.9565217391304347,3.1673559340479946,0.0014224835526399494,16.054143437588557,0.6857696280991736
"~has_genre, ~release_year, ~written_by",has_genre,0.002173296796749504,0.2388736653122933,0.0020788056316734384,0.9565217391304347,4.00429966978536,0.0015596622600224184,17.505905697817223,0.7519025482093665
"release_year, ~has_genre, ~release_year, ~written_by",has_genre,0.002173296796749504,0.2388736653122933,0.0020788056316734384,0.9565217391304347,4.00429966978536,0.0015596622600224184,17.505905697817223,0.7519025482093665
"written_by, ~is-a, ~written_by",is-a,0.003874137768118681,0.06179722195974676,0.00368515543796655,0.9512195121951219,15.392593421347058,0.003445744486407482,19.233156949825172,0.9386702275148491
~Sport played,Sport played,0.01332325427572522,0.035245204573372386,0.012661816120192761,0.9503546099290779,26.964082672599016,0.012192235297661768,19.4329180221649,0.9759160051113901
"release_year, written_by, ~has_genre, ~written_by",has_genre,0.0037796466030426156,0.2388736653122933,0.003590664272890485,0.95,3.9769976265822784,0.002687806235236537,15.222526693754121,0.7513940404458933
"has_genre, ~directed_by, ~starred_actors",starred_actors,0.005574978739487858,0.22630634035717662,0.005291505244259662,0.9491525423728815,4.194104950284845,0.0040298522081571,15.215975306308902,0.7658396454362818
"starred_actors, written_by, ~has_genre, ~written_by",has_genre,0.006897855050552773,0.2388736653122933,0.006519890390248512,0.9452054794520548,3.9569262614877756,0.004872174471530056,13.890555608050649,0.7524690081220093
Team coached,~Team coached,0.008504204856845885,0.02296135311348389,0.008031749031465559,0.9444444444444445,41.13191586648377,0.007836480980798116,17.586695643957317,0.9840565979560604
"written_by, ~in_language",in_language,0.003401681942738354,0.010299536993291128,0.0032126996125862234,0.9444444444444444,91.69775739041793,0.003177663863577579,17.814608334120752,0.9924706774717093
"written_by, ~in_language, ~written_by",in_language,0.002834734952281962,0.010299536993291128,0.002645752622129831,0.9333333333333333,90.61896024464832,0.0026165561646226275,14.845506945100636,0.9917762044645395
"has_genre, ~is-a",is-a,0.0040631200982708116,0.06179722195974676,0.0037796466030426156,0.930232558139535,15.052983429343577,0.0035285570684806663,13.447573151910316,0.937376660341556
"starred_actors, ~has_genre, ~written_by",has_genre,0.010299536993291128,0.2388736653122933,0.009543607672682605,0.926605504587156,3.879060939495994,0.0070833195200755966,10.370346310120004,0.7499295757339721
~Musical Genre,Musical Genre,0.0024567702919777,0.007653784371161296,0.002267787961825569,0.9230769230769231,120.60398860398861,0.002248984371761297,12.900500803174912,0.994150800416785
"written_by, ~has_genre, ~starred_actors, ~written_by",has_genre,0.00368515543796655,0.2388736653122933,0.003401681942738354,0.9230769230769231,3.8642891918208377,0.002521395356025755,9.894642350940194,0.7439618108244815
"written_by, ~has_genre, ~starred_actors, ~written_by",starred_actors,0.00368515543796655,0.22630634035717662,0.003401681942738354,0.9230769230769231,4.078882286815481,0.002567707901924796,10.058017575356711,0.7576267703591301
"~has_genre, ~is-a",is-a,0.0024567702919777,0.06179722195974676,0.002267787961825569,0.9230769230769231,14.937191249117856,0.0021159663827881115,12.196636114523299,0.9353509519749929
"has_genre, ~Produced by, ~starred_actors",starred_actors,0.0023622791269016347,0.22630634035717662,0.002173296796749504,0.92,4.065286012526096,0.0016386980526382486,9.671170745535298,0.7558002586128796
"starred_actors, written_by, ~has_genre, ~starred_actors, ~written_by",has_genre,0.003401681942738354,0.2388736653122933,0.0031182084475101578,0.9166666666666666,3.8374538502109705,0.0023056362136216046,9.133516016252477,0.741934371686908
"~has_genre, ~starred_actors, ~written_by",starred_actors,0.004535575923651138,0.22630634035717662,0.004157611263346877,0.9166666666666666,4.050556715379262,0.0031311816746532667,9.284323915713877,0.7565517538939466
"directed_by, has_genre, written_by",~written_by,0.002267787961825569,0.301993763583105,0.0020788056316734384,0.9166666666666666,3.035382770129328,0.0013939478100732758,8.376074837002736,0.6720763846438625
"has_genre, written_by, ~has_genre, ~starred_actors, ~written_by",starred_actors,0.003401681942738354,0.22630634035717662,0.0031182084475101578,0.9166666666666666,4.050556715379262,0.0023483862559899498,9.284323915713877,0.7556909763224354
~in_language,in_language,0.005574978739487858,0.010299536993291128,0.005102522914107531,0.9152542372881356,88.86362929559944,0.005045103214343364,11.678465463479165,0.9942899474921518
~has_genre,has_genre,0.12888594916375318,0.2388736653122933,0.1179249740149296,0.9149560117302054,3.8302925127139096,0.08713751493092997,8.949795866500283,0.8482509644240851
"starred_actors, written_by, ~has_genre",has_genre,0.010866483983747519,0.2388736653122933,0.009921572332986866,0.9130434782608696,3.822286048431481,0.007325855474731765,8.752952848908633,0.746488163473261
"~in_language, ~written_by",in_language,0.0032126996125862234,0.010299536993291128,0.002929226117358027,0.9117647058823529,88.52482460874258,0.002896136798849863,11.216605247409365,0.9918903794580742
"~starred_actors, ~written_by",starred_actors,0.03571766039875272,0.22630634035717662,0.032410469621090426,0.9074074074074073,4.009642001082502,0.024327336610128245,8.355891524142486,0.7784039436450718
"has_genre, ~has_genre, ~starred_actors, ~written_by",starred_actors,0.0040631200982708116,0.22630634035717662,0.00368515543796655,0.9069767441860466,4.007738991115211,0.0027656455980951907,8.317206841160358,0.7535444947209652
~Award Won,Award Won,0.0049135405839554,0.009921572332986866,0.004441084758575073,0.9038461538461539,91.09908424908426,0.004392334710260293,10.296815647736938,0.9939065413763216
"in_language, ~in_language, ~written_by",written_by,0.002929226117358027,0.28696966833601056,0.002645752622129831,0.903225806451613,3.147460885636293,0.0018051535747504181,7.367980093861231,0.6842880158128453
"release_year, written_by",~written_by,0.032693943116318624,0.301993763583105,0.0294812435037324,0.9017341040462428,2.9859361774472424,0.01960787657566339,7.103239935301343,0.6875762380304727
"directed_by, ~starred_actors, ~written_by",starred_actors,0.002834734952281962,0.22630634035717662,0.0025512614570537655,0.8999999999999999,3.9769102296450933,0.001909742964120259,7.736936596428228,0.7506764795687376
"~has_genre, ~starred_actors, ~written_by",has_genre,0.004535575923651138,0.2388736653122933,0.0040631200982708116,0.8958333333333334,3.7502389899789033,0.002979690453086074,7.306812813001987,0.7366916479950553
"has_genre, ~starred_actors, ~written_by",starred_actors,0.0122838514598885,0.22630634035717662,0.010960975148823585,0.8923076923076922,3.942919543921631,0.008181061679445057,7.184298268111927,0.7556632809587744
Team Owned,~Team Owned,0.006708872720400642,0.012472833790040631,0.005952943399792119,0.8873239436619719,71.14052496798976,0.005869264745432024,8.764303600113392,0.9926025585272161
"Produced by, ~starred_actors",starred_actors,0.005008031749031466,0.22630634035717662,0.004441084758575073,0.8867924528301886,3.9185488635916013,0.003307735421059212,6.834293993511602,0.7485522620274393
"starred_actors, ~has_genre, ~starred_actors, ~written_by",has_genre,0.004157611263346877,0.2388736653122933,0.00368515543796655,0.8863636363636365,3.7105958716916003,0.0026920115965472073,6.697911745251825,0.7335513270611478
"~Produced by, ~written_by",written_by,0.0024567702919777,0.28696966833601056,0.002173296796749504,0.8846153846153847,3.0826093563992814,0.0014682782408828995,6.179596207754579,0.6772633859256788
"written_by, ~has_genre, ~starred_actors",has_genre,0.0073703108759331,0.2388736653122933,0.006519890390248512,0.8846153846153847,3.703277142161636,0.0047593172168233135,6.59642823396013,0.7353889452227719
"Starring TV role, starred_actors",~starred_actors,0.0024567702919777,0.1973920438439006,0.002173296796749504,0.8846153846153847,4.481514894870568,0.0016883498875610494,6.955935620019533,0.7787744377314042
"written_by, ~starred_actors, ~written_by",starred_actors,0.02683549088160257,0.22630634035717662,0.023717282434092414,0.8838028169014086,3.905338292804846,0.017644240700988554,6.658454525410974,0.7644547550162493
"~in_language, ~written_by",written_by,0.0032126996125862234,0.28696966833601056,0.002834734952281962,0.8823529411764706,3.07472544500184,0.0019127876099948636,6.060757819143909,0.6769425221979967
has_person,~has_person,0.0023622791269016347,0.013606727770953416,0.0020788056316734384,0.8799999999999999,64.67388888888888,0.0020466627426746825,8.219943935242048,0.9868690695551844
"Sport played, ~starred_actors",starred_actors,0.0054804875744117925,0.22630634035717662,0.004819049418879335,0.8793103448275862,3.8854870059750914,0.003578780332541222,6.410604608469107,0.7467244189837454
"~has_genre, ~starred_actors",has_genre,0.026740999716526506,0.2388736653122933,0.02333931777378815,0.8727915194346288,3.6537787382027997,0.016951597157386467,5.9832986865728,0.7462666561848984
"~Film Executive Produced, ~starred_actors",starred_actors,0.002929226117358027,0.22630634035717662,0.0025512614570537655,0.8709677419354839,3.848622802882349,0.0018883590143558087,5.996125862231882,0.7423412798697103
Composer,~Composer,0.010205045828215062,0.013890201266181613,0.008882169517150146,0.8703703703703703,62.660745779793395,0.008740419376665632,7.607132733089455,0.9941867668714772
"starred_actors, ~directed_by, ~starred_actors, ~written_by",written_by,0.002834734952281962,0.28696966833601056,0.0024567702919777,0.8666666666666666,3.0200636593129184,0.0016432873429008486,5.347727487479918,0.6707826429232664
"in_language, written_by",~written_by,0.005669469904563924,0.301993763583105,0.0049135405839554,0.8666666666666666,2.8698164372131827,0.0032013960299549934,5.23504677312671,0.6552606378701599
"~Next in series, ~written_by",written_by,0.002834734952281962,0.28696966833601056,0.0024567702919777,0.8666666666666666,3.0200636593129184,0.0016432873429008486,5.347727487479918,0.6707826429232664
"~directed_by, ~starred_actors, ~written_by",written_by,0.002834734952281962,0.28696966833601056,0.0024567702919777,0.8666666666666666,3.0200636593129184,0.0016432873429008486,5.347727487479918,0.6707826429232664
"~directed_by, ~starred_actors, ~written_by","starred_actors, written_by",0.002834734952281962,0.05480487574411792,0.0024567702919777,0.8666666666666666,15.813678160919538,0.002301412995150379,7.088963431919111,0.939426630414975
"starred_actors, written_by, ~has_genre, ~starred_actors",has_genre,0.006330908060096381,0.2388736653122933,0.0054804875744117925,0.8656716417910448,3.6239726997921786,0.00396820036134143,5.666162713786264,0.7286728925381356
"directed_by, ~has_genre",has_genre,0.004157611263346877,0.2388736653122933,0.003590664272890485,0.8636363636363638,3.615452387802072,0.002597520431471142,5.581593121043188,0.7264296522690159
"starred_actors, ~has_genre, ~starred_actors",has_genre,0.022772370783331757,0.2388736653122933,0.0196541623358216,0.8630705394190871,3.613083670360838,0.014214442658956564,5.558528686658704,0.7400815197179537
"written_by, ~has_genre, ~starred_actors",starred_actors,0.0073703108759331,0.22630634035717662,0.006330908060096381,0.8589743589743589,3.7956265724532945,0.004662959978469264,5.486191404740018,0.742007714876356
"has_genre, written_by, ~starred_actors, ~written_by",starred_actors,0.00859869602192195,0.22630634035717662,0.0073703108759331,0.8571428571428572,3.7875335520429467,0.005424371447368131,5.4158556174997665,0.7423592578472488
"directed_by, starred_actors, written_by",~written_by,0.0033071907776622885,0.301993763583105,0.002834734952281962,0.8571428571428572,2.838279992848203,0.0018359839624483916,4.886043654918268,0.6498230312223486
"written_by, ~release_year","release_year, ~written_by",0.016346971558159312,0.04129263913824058,0.013984692431257677,0.8554913294797688,20.71776828348831,0.013309682833703523,6.6342549371633766,0.9675487447101281
"written_by, ~release_year",~written_by,0.016346971558159312,0.301993763583105,0.013984692431257677,0.8554913294797688,2.832811245270461,0.009048008967223173,4.830203156004915,0.6577459303684088
"release_year, written_by, ~release_year",~written_by,0.016346971558159312,0.301993763583105,0.013984692431257677,0.8554913294797688,2.832811245270461,0.009048008967223173,4.830203156004915,0.6577459303684088
"directed_by, written_by",~written_by,0.006425399225172447,0.301993763583105,0.0054804875744117925,0.8529411764705882,2.8243668556283588,0.0035400570798779984,4.746442407634886,0.6501155984062177
"~has_genre, ~starred_actors",starred_actors,0.026740999716526506,0.22630634035717662,0.022772370783331757,0.8515901060070671,3.7629971156045054,0.016720712999992345,5.213221563783785,0.7544285541634773
"written_by, ~has_genre, ~starred_actors, ~written_by","has_genre, starred_actors",0.00368515543796655,0.06718321836908249,0.0031182084475101578,0.8461538461538461,12.594720328897544,0.0028706278449972394,6.0633090806009635,0.9240067595530419
"has_genre, starred_actors, ~has_genre, ~starred_actors, ~written_by",written_by,0.00368515543796655,0.28696966833601056,0.0031182084475101578,0.8461538461538461,2.9485828626427906,0.002060680613710251,4.634697155815931,0.6632983859842737
Team,~Team,0.01332325427572522,0.02475668524992913,0.011244448644051781,0.8439716312056738,34.09065562232689,0.01091460903144288,6.250423062716363,0.9837735132359782
"directed_by, ~starred_actors",starred_actors,0.007842766701313427,0.22630634035717662,0.006614381555324577,0.8433734939759037,3.726689639560329,0.0048395137248752095,4.939736442334952,0.7374489795918368
"is-a, starred_actors",~starred_actors,0.006614381555324577,0.1973920438439006,0.005574978739487858,0.8428571428571429,4.269965123435683,0.004269352445518942,5.107505175538814,0.770905110218664
"has_genre, ~has_genre, ~starred_actors",starred_actors,0.02333931777378815,0.22630634035717662,0.0196541623358216,0.8421052631578947,3.721085594989561,0.014372326744002396,4.900059844404547,0.748736213235294
"release_year, ~starred_actors",starred_actors,0.004157611263346877,0.22630634035717662,0.0034961731078144193,0.8409090909090909,3.715799962042133,0.00255527931817861,4.863217289183463,0.7339303436656127
"has_genre, written_by, ~has_genre, ~starred_actors",starred_actors,0.006519890390248512,0.22630634035717662,0.0054804875744117925,0.8405797101449275,3.714344497897189,0.004004995040664728,4.8531693195777095,0.7355693230044669
"has_genre, starred_actors, ~directed_by, ~written_by",written_by,0.0034961731078144193,0.28696966833601056,0.002929226117358027,0.8378378378378378,2.9196041612900356,0.0019259304801632438,4.397020378594601,0.6597945712485395
"has_genre, ~has_genre, ~starred_actors, ~written_by",written_by,0.0040631200982708116,0.28696966833601056,0.003401681942738354,0.8372093023255814,2.917413910606397,0.0022356897157282006,4.380043465935937,0.6599119755429054
Player statistics,~Player statistics,0.0098270811679108,0.019748653500897665,0.00822073136161769,0.8365384615384617,42.35926573426574,0.008026659740707423,5.996831766818042,0.9860827292241846
"written_by, ~in_language",~written_by,0.003401681942738354,0.301993763583105,0.002834734952281962,0.8333333333333334,2.759438881935753,0.001807448219881718,4.188037418501372,0.6397838247842988
"starred_actors, ~directed_by, ~written_by",written_by,0.0073703108759331,0.28696966833601056,0.00614192572994425,0.8333333333333334,2.90390736472396,0.004026870062344437,4.2781819899839375,0.6605045216563541
"has_genre, ~directed_by, ~written_by",written_by,0.005008031749031466,0.28696966833601056,0.004157611263346877,0.830188679245283,2.892949223725002,0.0027204580533111058,4.198956397576825,0.6576253992920659
Influenced By,written_by,0.0033071907776622885,0.28696966833601056,0.0027402437872058962,0.8285714285714286,2.887313608354109,0.0017911803466162364,4.159343601373273,0.6558262393262981
"starred_actors, ~has_genre",has_genre,0.042898988944533686,0.2388736653122933,0.035528678068600585,0.8281938325991189,3.467078849049239,0.025281239341228275,4.4301455890797286,0.7434667260425617
"Influenced By, written_by",~written_by,0.0027402437872058962,0.301993763583105,0.002267787961825569,0.8275862068965517,2.7404082689568856,0.0014402514273920393,4.0484361712179915,0.6368359547722822
"~in_language, ~written_by","in_language, written_by",0.0032126996125862234,0.005669469904563924,0.002645752622129831,0.823529411764706,145.25686274509803,0.002627538318363869,5.634539670540806,0.9963165093509201
"in_language, written_by, ~in_language",~written_by,0.0032126996125862234,0.301993763583105,0.002645752622129831,0.823529411764706,2.7269748950894503,0.001675537374862934,3.955368673029074,0.6353344257410993
"~directed_by, ~written_by",written_by,0.010110554663138996,0.28696966833601056,0.008315222526693753,0.822429906542056,2.865912315092058,0.00541380000831965,4.015486604634045,0.6577208945121317
"has_genre, release_year, written_by",~written_by,0.008976660682226212,0.301993763583105,0.0073703108759331,0.8210526315789474,2.7187734668335417,0.0046594153320991235,3.9006230858591193,0.6379134150873281
"Produced by, written_by",~written_by,0.004157611263346877,0.301993763583105,0.003401681942738354,0.8181818181818182,2.7092672659005577,0.002146109269804723,3.839034300292924,0.6335304846548798
"starred_actors, ~has_genre, ~starred_actors, ~written_by",written_by,0.004157611263346877,0.28696966833601056,0.003401681942738354,0.8181818181818182,2.851109049001707,0.002208573617425639,3.921666824151943,0.6519699317877514
"~has_genre, ~starred_actors, ~written_by",written_by,0.004535575923651138,0.28696966833601056,0.00368515543796655,0.8125,2.831309680605861,0.0023835827194435884,3.802828435541277,0.6497535686904459
"~has_genre, ~starred_actors, ~written_by","has_genre, starred_actors",0.004535575923651138,0.06718321836908249,0.00368515543796655,0.8125,12.093793952180029,0.0033804408502583426,4.975022835364894,0.9214924610273447
"Subject, written_by",~written_by,0.003968628933194746,0.301993763583105,0.0032126996125862234,0.8095238095238095,2.680597771023303,0.002014198424785939,3.664532741188699,0.6294469215444455
"written_by, ~starred_actors",starred_actors,0.0466786355475763,0.22630634035717662,0.03770197486535009,0.8076923076923077,3.5690220009635456,0.027138303681711683,4.023207030142682,0.7550561903817925
"has_genre, ~starred_actors",starred_actors,0.053198525937824814,0.22630634035717662,0.04280449777945762,0.8046181172291297,3.5554378015181123,0.03076533406207215,3.959904821626451,0.7591250170740197
"has_genre, written_by",~written_by,0.08910516866672966,0.301993763583105,0.07143532079750543,0.8016967126193002,2.6546796963861246,0.04452611555713239,3.5198924114499057,0.6842795670596501
"~Next in series, ~written_by",has_genre,0.002834734952281962,0.2388736653122933,0.002267787961825569,0.7999999999999998,3.349050632911392,0.0015906444335851081,3.8056316734385303,0.7034018762437221
"starred_actors, ~is-a",~starred_actors,0.002834734952281962,0.1973920438439006,0.002267787961825569,0.7999999999999998,4.052848252752512,0.0017082338358388907,4.013039780780494,0.7554013076850183
"written_by, ~Subject",~written_by,0.00368515543796655,0.301993763583105,0.002929226117358027,0.7948717948717949,2.632080164307949,0.001816332157257763,3.4027804025323647,0.6223658769396446
"is-a, starred_actors, ~is-a",~starred_actors,0.0027402437872058962,0.1973920438439006,0.002173296796749504,0.7931034482758621,4.017909905746026,0.0016323944749623814,3.8792717880878143,0.7531782715805259
"has_genre, written_by, ~starred_actors",starred_actors,0.013795710101105547,0.22630634035717662,0.010866483983747519,0.7876712328767123,3.4805530929161774,0.007744427318137788,3.6438475583178125,0.7226589349763176
"Produced by, starred_actors, written_by",~starred_actors,0.002645752622129831,0.1973920438439006,0.0020788056316734384,0.7857142857142856,3.980475962524789,0.0015565551140858717,3.7455037953951282,0.7507600878515136
"written_by, ~in_language","in_language, ~written_by",0.003401681942738354,0.006708872720400642,0.002645752622129831,0.7777777777777778,115.93270735524257,0.002622931170940714,4.4698100727581975,0.9947581573636376
